sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion
ECHES,Administración,Administrative  Section,Seccion
ERUNI,Administración,Administration,Seccion
EHAIT,Administración,Todo  el  territorio  de  Haiti,Seccion
EKENY,Administración,Administrative  Section,Seccion
ERUNI,Administración,Administracion,Seccion
CNYOR,Administración,Administration  Department,Seccion
EPBAJ,Administración,Administration,Seccion
EECUA,Administración  y  Logística,Administration  and  Logistics,Seccion
ESSED,"Administración, Economato, Contabilidad  e  Inventario",Administration  Area,Seccion
EJAPO,Administrativa,Administration,Seccion
ESALV,Administrativa  -  Contable,Administrativa  -  Contable,Seccion
EGUAT,Agregada  Administrativa,Administración,Seccion
ETAIL,Agregada  Administrativa,Administration  Attaché,Seccion
ETURQ,Agregada  para  Asuntos  Administrativos,Administrative  Affairs,Seccion
EBRAS,Agregado  Aaeronáutico,Agregaduría  de  la  Fuerza  Aerea,Agregaduria  Militar
EPORT,Agregado  Administrativo,Chief  of  Administrative  Section,Seccion
CGUAY,AGREGADO  CONSULAR,AGREGADO  ADMINISTRATIVO,Seccion
EBRAS,Agregado  Militar,Agregado  de  Defensa  y  Naval,Agregaduria  Militar
EBRAS,Agregado  Naval    y  de  Defensa,Agregado  Militar,Agregaduria  Militar
EBOLV,Agregaduría  Aeronáutica,Agregaduría  Aeronáutica-,Seccion
EEEUU,Agregaduria  Aeronautica,Air  Force  Attache,Seccion
ECHIN,Agregaduría  Agrícola,Jefe  de  Agregadurìa  Agrìcola,Seccion
EINDI,Agregaduría  Agrícola,Agricultural  Section,Seccion
ESURI,Agregaduria  de  Defensa,,Seccion
EPBAJ,Agregaduría  de  Defensa  ,Defense  Attache,Agregaduria  Militar
EPERU,Agregaduria  de  Defensa  y  Aeronáutica,Agregaduria  Aeronautica  y  de  Defensa,Agregaduria  Militar
EHILE,Agregaduría  de  Defensa  y  Aeronáutica,  Aeronautic  and  defense  Attaché  Office,Agregaduria  Militar
EEEUU,Agregaduria  de  Defensa  y  Militar,Militar  Attache,Seccion
EBOLV,"Agregaduría  de  Defensa, Militar  y    Fuerza  Aérea",A  cargo  de  la  Agregaduría  de  Defensa.,Agregaduria  Militar
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defence  Attaché,Agregaduria  Militar
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché,Agregaduria  Militar
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregadurìa  Militar,Agregaduria  Militar
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Air  Attaché  Office",Seccion
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",ekuwa,Seccion
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Army, Navy  and  Air  Force  Attaché",Agregaduria  Militar
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Aeronautical  Office",Agregaduria  Militar
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Defense  Attaché  Office,Agregaduria  Militar
EINDI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",Agregaduria  Militar
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Agregaduría    de  Defensa, Militar, Naval  y  Fuerza  Aérea",Seccion
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",Defence  Attach,Agregaduria  Militar
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA),Oficial  de  Enlace  de  la  Gendarmería  Nacional  Argentina  ante  la  Policía  Boliviana.,Seccion
EBOLV,Agregaduría  de  Prefectura  Naval,Agregaduría  de  Prefectura  Naval,Seccion
EECUA,Agregaduria  Militar,Agregaduria  Militar,Seccion
EEGIP,Agregaduría  Militar,Agregaduría  Militar,Agregaduria  Militar
EHILE,Agregaduria  Militar,military    Attaché  Office,Agregaduria  Militar
EEEUU,Agregaduria  Naval,Naval  Attache,Seccion
EHILE,Agregaduría  Naval,Navy    Attaché  Office,Agregaduria  Militar
CNYOR,Asistencia  a  Argentinos  en  el  Exterior,Argentine  Community  Affairs  and  Assintance  to  Argentines  Citizens,Seccion
ETUNE,Asuntos  Culturales  ,Cultural  Affairs  and  Press,Seccion
EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat),Multilateral  (UNEP  /  UN  HABITAT),Seccion
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)","Nuclear  Affairs  (IAEA, CTBTO, Zangger  C., NSG)",Seccion
ECANA,Asuntos  oceánicos  y  polares  -  Educación  y  Deportes  -  Diplomacia  Pública,Ocean  and  Polar  Affairs  -  Education  and  Sports  -  Public  Diplomacy,Seccion
ETRIA,Asuntos  relativos  a  la  Comisión  de  las  Naciones  Unidas  para  el  Derecho  Mercantil  Internacional,Matters  related  to  the  United  Nations  Commission  On  International  Trade  Law,Seccion
ETRIA,Asuntos  relativos  a  la  Oficina  de  Asuntos  del  Espacio  Ultraterrestre  (OOSA),UNOOSA  Affairs,Seccion
ETRIA,Asuntos  relativos  a  la  Oficina  de  las  Naciones  Unidas  contra  la  Droga  y  el  Delito  (ONUDD),UNODC  Affairs,Seccion
ETRIA,Asuntos  relativos  a  la  Organización  de  las  Naciones  Unidas  para  el  Desarrollo  Industrial  (ONUDI),UNIDO  Affairs,Seccion
ECEUR,Cancillería,Chancellery,Seccion
ECEUR,Consejería  Agrícola,Agricultural  Office,Seccion
EEEUU,Consejería  Agrícola,Jefe  de  Consejería  Agricola,Seccion
EBRAS,Consejería  Agrícola,,Seccion
CPCAR,Cónsul  Adjunto,Consulado,Seccion
EKENY,Consular  ,Consular  ,Sección  Consular
CGUAY,CONSULAR,CONSULAR,Seccion
EBOLV,Contabilidad  y  Administración.,Contabilidad  y  Administración.,Seccion
EHAIT,Cooperación  Internacional,Todo  el  territorio  de  Haiti,Seccion
ETUNE,Cooperación  Internacional,International  Co-operation,Seccion
ECOLO,"Cooperación  Internacional, Ciencia  y  Tecnología","Cooperación, Ciencia  y  Tecnología",Seccion
EJAPO,"Cooperación, Ciencia, Tecnología  e  Inversiones",Cooperation,Seccion
EBOLV,"Coordinación  Gral., Sección  Política, Medio  Ambiente  y  Asuntos  Jurídicos",Area  de  límites  y  fronteras.  Defensa  y  cooperación  militar,Seccion
EKENY,Cultural,Cultural,Seccion
ESALV,Cultural,Seccion  Cultural,Seccion
CGMUM,Deportes,Sports,Seccion
EPBAJ,Diplomacia  Pública,Public  Diplomacy,Seccion
CNYOR,Documentación:  certificados  y  legalizaciones,Certificates  and  legalizations,Seccion
CNYOR,Documentación:  gestión  documental  y  RENAPER,Consular  Department,Seccion
EKENY,Económica  -  Comercial,Economic  -  Commercial,Seccion
EUNGR,Económico  Comercial,Sección  Económico  Comercial,Seccion
CGMUM,Educación  y  Cultura,Education  and  Culture  Section,Seccion
EBOLV,Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ,Jefe  de  Misión,Seccion
EMEXI,Encargada  de  Negocios,Chief  of  Mission,Seccion
EFILI,Fabricio  Sordoni,Fabricio  Sordoni,Sección  Consular
EFILI,Gabriel  Hernán  Rivera,Gabriel  Hernán  Rivera,Seccion
ESSED,Jefa  de  Cancillería,Head  of  Chancery,Seccion
ESUIZ,Jefe  de  Cancillería,Deputy  Chief  of  Mission,Seccion
EITAL,Jefe  de  Cancillería,Deputy  Chief  of  Mission,Seccion
EISRA,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
ETUNE,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EBELG,Jefe  de  Cancillería,Head  of  Chancery,Seccion
ECORE,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EESPA,Jefe  de  Cancillería,Chancellery,Seccion
EINDI,Jefe  de  Cancilleria,Jefe  de  Cancilleria,Seccion
EFRAN,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EUNGR,Jefe  de  Cancillería,Head  of  Chancellery,Seccion
EURUG,Jefe  de  Cancillería,Chancery  chief,Seccion
EALEM,Jefe  de  Cancillería,Head  of  Office,Seccion
EPNMA,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EECUA,Jefe  de  Cancilleria,Jefe  Cancilleria,Seccion
ECOLO,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EHILE,Jefe  de  Cancillería,Head  of  Chancery,Seccion
EJAPO,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EBRAS,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EFRUS,Jefe  de  Cancillería,Jefa  de  Cancillería,Seccion
EPERU,Jefe  de  Cancillería,Jefe  de  Cancillería,Seccion
EBARB,Jefe  de  Cancillería,Charge  d'affaires,Seccion
ECANA,"Jefe  de  Cancillería, Sección  Política  y  Ceremonial","Head  of  Chancery, Political  Affairs  and  Protocol",Seccion
ESSED,Jefe  de  Misión,Head  of  the  Diplomatic  Mission,Seccion
ENIGE,Jefe  de  Misión,JEFE  SECCION  CANCILLERIA  ,Seccion
EEEUU,Jefe  de  Misión  Adjunto  ,Deputy  Chief  of  Mission,Seccion
EISRA,Jefe  de  Sección  Administrativa,Jefe  de  Sección  Administrativa,Seccion
EPORT,JEFE  DE  SECCIÓN  CONSULAR,CHIEF  OF  CONSULAR  SECTION,Sección  Consular
EPORT,JEFE  DE  SECCIÓN  CULTURAL,CHIEF  OF  CULTURAL  SECTION,Seccion
EMARR,Jefe  de  Sección  Cultural  ,Chief  of  the  Cultural  Section,Seccion
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL,Chief  of  Economic  and  Commercial  Section,Seccion
EFILI,Leandro  Waisman,Leandro  Waisman,Seccion
EFILI,Leandro  Waisman,Leandro  Waisman,Seccion
EBOLV,Misión  Naval  Argentina,MISIÓN  NAVAL  ARGENTINA,Seccion
EBOLV,"Narcotráfico, Frontera, Migraciones, Cooperación, Derechos  Humanos, Genero  (trata)  y  Administración","Defensa, Narcotráfico  y  Derechos  Humanos",Seccion
EMEXI,Negociaciones  Económicas  Bilaterales,Negociaciones  Económicas  Bilaterales,Seccion
CNYOR,Notariales,Notary  Public  Documents  Department,Seccion
DITIC,nueva,nuva,Seccion
ERUNI,OMI,OMI,Seccion
CNYOR,Personal,Sección  de  Personal  ,Seccion
EMEXI,Política  Comercial,Trade  Policy,Seccion
EJAPO,Política  y  Deportes,Politics,Seccion
EKENY,Política  y  Prensa,Political  and  Cooperation,Seccion
ESALV,Prensa,Prensa,Seccion
ETUNE,Prensa,Prensa,Seccion
CGMUM,Promoción  de  Turismo,Tourism  Promotion,Seccion
CNYOR,"Promoción  del  Comercio, Inversiones, Turismo  y  Cultura",Commercial  Promotion,Seccion
EGUAT,Promoción  turistica,Sección  promoción  turística,Seccion
CNYOR,"Relaciones  Institucionales, Educación  y  Ciencia, Temas  Políticos",Argentine  community  and  public  diplomacy,Seccion
EPBAJ,Representación  Permanente  ante  la  OPAQ,Permanent  Rep.  to  the  OPCW,Seccion
EHILE,Residencia  Oficial,Official  Residence,Seccion
EFILI,Santiago  Javier  D´assaro  ,Santiago  Javier  D´assaro  ,Seccion
ETRIN,Sección  Administración,Administrative  Affaires,Seccion
EALEM,Sección  Administración,Sección  Administración,Seccion
CBARC,Sección  Administración,Administrative  Section,Seccion
EDOMI,Sección  Administración,Sección  Administración,Seccion
CCONC,Sección  Administración,Administración,Seccion
EBARB,Sección  Administrativa,Administrative  Attaché,Seccion
EKUWA,Sección  Administrativa,Administrative  Section,Seccion
ESUEC,Sección  Administrativa,Administration,Seccion
ECANA,Sección  Administrativa,Administration,Seccion
ESING,Sección  Administrativa,Administrative  Section,Seccion
EMOZA,Sección  Administrativa,Administrative  Section,Seccion
EEARB,Sección  Administrativa,Seccion  Administrativa,Seccion
CGTEL,Sección  Administrativa,Agregado  Administrativo,Seccion
EFRAN,Sección  Administrativa,Sección  Administrativa,Seccion
EITAL,Sección  Administrativa,Administrative  Section,Seccion
CSCRS,Sección  Administrativa,Administracion,Seccion
ECHIN,Sección  Administrativa,Administración,Seccion
EEEUU,Sección  Administrativa,Jefe  de  Administración,Seccion
EEGIP,Sección  Administrativa,Administrative  Section,Seccion
EVENE,Sección  Administrativa,Sección  Administrativa,Seccion
EDINA,Sección  Administrativa,Administrative  Section,Seccion
EUNGR,Sección  Administrativa,Administrative  Section,Seccion
EARME,Sección  Administrativa,Sección  Administrativa,Seccion
EANGO,Sección  Administrativa,Sección  Administrativa,Seccion
EESPA,Sección  Administrativa,Administration,Seccion
EHOND,Sección  administrativa,Sección  Administración,Seccion
EPERU,Sección  Administrativa,Agregada  Administrativa,Seccion
EAUST,Sección  Administrativa,Head  of  Administration,Seccion
EARGE,Sección  Administrativa,  Sección  Administrativa,Seccion
ECUBA,Sección  Administrativa,Sección  Administración,Seccion
CSIDN,Sección  Administrativa,Administrative  Section,Seccion
EISIA,Sección  Administrativa,Administrative  Section,Seccion
CMIAM,Sección  Administrativa,Sección  Administrativa,Seccion
ECOLO,Sección  Administrativa,Sección  Administrativa,Seccion
EHILE,Sección  Administrativa,Administrative  Section  ,Seccion
ENIGE,Sección  Administrativa,Sección  Administrativa,Seccion
ESURI,Sección  Administrativa,,Seccion
ECEUR,Sección  Administrativa,Administrative  Section,Seccion
EPNMA,Sección  Administrativa,Agregada  Administrativa,Seccion
EINDI,Sección  Administrativa,Sección  Administrativa,Seccion
ESERB,Sección  Administrativa,Sección  de  Administración,Seccion
EMARR,Secciòn  Administrativa,Administrative  Section,Seccion
ELBNO,Sección  Administrativa  Contable,Sección  Administrativa  y  Contable,Seccion
ECORE,Sección  Administrativa  y  Recursos  Humanos,Sección  Administrativa,Seccion
EMEXI,Sección  Administrativa  y  Recursos  Humanos  ,Administration  and  Human  Resources,Seccion
CMILA,Sección  Administrativa:,Sección  Administrativa:  Agregado  Administrativo  Gustavo  Ruggieri,Seccion
EMEXI,Sección  Comercial,Trade  Department,Seccion
CSCRS,Sección  Comercial,Sección  Comercial,Seccion
EEGIP,Sección  Comercial,Sección  Comercial,Seccion
EDINA,Sección  Comercial,Economic  and  Commerce  Section,Seccion
EURUG,Sección  Comercial,Commercial  Section,Seccion
CURUG,Sección  Comercial,Commercial  Section,Seccion
CSIDN,Sección  Comercial  ,Trade  and  Cultural  Section,Seccion
EPOLO,Sección  Comercial,Sección  Comercial,Seccion
EHOND,Sección  Comercial,Sección  Comercial,Seccion
EPBAJ,Sección  Comercial,Commercial  Section,Seccion
ESALV,Sección  Comercial  e  Inversiones,Comercial  e  Inversiones,Seccion
CMIAM,Sección  Comercial  e  Inversiones,Commercial  and  investment  section,Seccion
EFINL,Sección  Comercial  y  de  Inversiones,Sección  Comercial  y  de  Inversiones,Seccion
CBELO,"Sección  Comercial, Cultural  y  Turismo.","Sección  Comercial, Cultural  y  Turismo.",Seccion
EAUST,Sección  Comercio  e  Inversiones,Trade  and  Investment  Section,Seccion
CBARC,"Sección  Comercio, Turismo  e  Inversiones",Tourism  and  Investment,Seccion
EFRUS,Sección  Concurrencias  y  Protocolo,Strategic  Affairs,Seccion
EBARB,Sección  Consular,Consular  Section  ,Seccion
EINDI,Sección  Consular,Consular  Section,Sección  Consular
CGMUM,Sección  Consular,Consular  Section,Seccion
CRIOJ,Sección  Consular,Sección  Consular,Seccion
ESING,Sección  Consular,Consular  Section  ,Seccion
CSIDN,Sección  Consular,Sección  Consular,Seccion
CSIDN,Sección  Consular,Sección  Consular,Seccion
EETIO,Sección  Consular,Consular  Affairs,Sección  Consular
EALEM,Sección  Consular,Consular  Section,Seccion
EINDI,Sección  Consular,Sección  Consular,Sección  Consular
ETRIN,Sección  Consular,Consular  Affaires,Sección  Consular
CGTEL,Sección  Consular,Sección  Consular,Seccion
ENORU,Sección  Consular,Consular  Section,Seccion
EBRAS,Sección  Consular,Consular  Section,Seccion
EFRUS,Sección  Consular,Consular  Section,Seccion
EARGE,Sección  Consular,Sección  Consular,Sección  Consular
EJAMA,Sección  Consular  ,Jose  Emilio  Grande  Pérez,Sección  Consular
EECUA,Sección  Consular,Sección  Consular,Seccion
EVIET,Sección  Consular,Consular  Section,Sección  Consular
EARME,Sección  Consular,Consular  Section,Seccion
EDOMI,Sección  Consular,Consular  Section,Seccion
ENZEL,Sección  Consular,Consular  Section,Seccion
EKUWA,Sección  Consular,ekuwa,Seccion
ERUMA,Sección  Consular,Consular  Section,Seccion
EPOLO,Sección  Consular,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia,Seccion
EASIR,Sección  Consular,Sección  Consular,Sección  Consular
ETUNE,Sección  Consular,Consular  Section,Sección  Consular
EEEUU,Sección  Consular,Consular  Section,Sección  Consular
EIRLA,Sección  Consular,Consular  Section,Sección  Consular
EGREC,Sección  Consular,Consular  Section,Sección  Consular
EQATR,Sección  Consular,Sección  Consular,Sección  Consular
EVENE,Sección  Consular,Sección  Consular,Seccion
EEGIP,Sección  Consular,Consular  Section,Sección  Consular
EFINL,Sección  Consular,Sección  Consular,Seccion
EHAIT,Sección  Consular,Todo  el  territorio  de  Haiti,Sección  Consular
EDINA,Sección  Consular,Consular  Section,Sección  Consular
ESERB,Sección  Consular,Consular  Section,Sección  Consular
EANGO,Sección  Consular,Sección  Consular,Sección  Consular
ECHES,Sección  Consular,Consular  Section,Seccion
ETURQ,Sección  Consular,Consular  Assistance,Seccion
CCHIC,Sección  Consular,Consular  Section,Sección  Consular
CSCRS,Sección  Consular,Jefe  de  Seccion  Consular,Seccion
EBELG,Sección  Consular,Consular  Section,Seccion
EEARB,Sección  Consular,Sección  Consular,Sección  Consular
CVIGO,Sección  Consular,Sección  Consular,Sección  Consular
ESUEC,Sección  Consular,Consular  Department,Seccion
EPBAJ,Sección  Consular,Consular  section,Seccion
CFRAN,Sección  Consular,Consular  Section,Seccion
EMSIA,Sección  Consular,Consular  Section,Sección  Consular
EPNMA,Sección  Consular,Sección  Consular,Seccion
EUNGR,Sección  Consular,Consular  Section,Sección  Consular
CGTEL,Sección  Consular,Cónsul  Adunto,Sección  Consular
EISIA,Sección  Consular,Consular  Section,Seccion
ESURI,Sección  Consular,Consular  Section,Seccion
EIRAN,Sección  Consular,Consular  Section,Sección  Consular
EHOND,Sección  Consular,Sección  Consular,Seccion
EFRAN,Sección  Consular,Consular  Section,Seccion
EGUAT,Sección  Consular,Consulado,Sección  Consular
CSHAN,Sección  Consular,Sección  Consular,Seccion
EJAPO,Sección  Consular,Consular  Affairs,Seccion
EUCRA,Sección  Consular,Consular  Section,Sección  Consular
ERICA,Sección  Consular,Consular  Section,Seccion
CRECI,Sección  Consular,Sección  Consular,Sección  Consular
CPABL,Sección  Consular,Sección  Consular,Sección  Consular
ETAIL,Sección  Consular,Consular  Section,Sección  Consular
EMOZA,Sección  Consular,Consular  Section,Sección  Consular
ETRIA,Sección  Consular,Consular  Section  ,Sección  Consular
ESALV,Sección  Consular  ,SECCIONES  DE  LA  REPRESENTACIÓN  ,Sección  Consular
ESUIZ,Sección  Consular,Consular  Section,Seccion
EAZER,Sección  Consular,Sección  Consular,Sección  Consular
